trial,RL_choice,WSLS_choice,v1,v2,feedback
1,0,1,0.5,0.5,0
2,0,0,0.04999999999999999,0.5,1
3,1,0,0.905,0.5,0
4,0,1,0.905,0.04999999999999999,0
5,1,0,0.09050000000000002,0.04999999999999999,0
6,0,1,0.09050000000000002,0.0049999999999999975,0
7,1,0,0.009050000000000002,0.0049999999999999975,0
8,1,1,0.009050000000000002,4.999999999999996e-4,1
9,1,1,0.009050000000000002,0.90005,1
10,1,1,0.009050000000000002,0.990005,1
11,0,1,0.009050000000000002,0.9990005,0
12,0,0,9.049999999999996e-4,0.9990005,1
13,1,0,0.9000905,0.9990005,0
14,0,1,0.9000905,0.09990005000000002,0
15,0,0,0.09000905000000003,0.09990005000000002,1
16,1,0,0.909000905,0.09990005000000002,0
17,0,1,0.909000905,0.009990004999999996,0
18,0,0,0.09090009050000003,0.009990004999999996,1
19,1,0,0.90909000905,0.009990004999999996,0
20,0,1,0.90909000905,9.990004999999996e-4,0
21,0,0,0.09090900090499998,9.990004999999996e-4,1
22,0,0,0.9090909000905,9.990004999999996e-4,1
23,0,0,0.99090909000905,9.990004999999996e-4,1
24,1,0,0.999090909000905,9.990004999999996e-4,0
25,1,1,0.999090909000905,9.99000499999999e-5,1
26,1,1,0.999090909000905,0.900009990005,1
27,1,1,0.999090909000905,0.9900009990005,1
28,1,1,0.999090909000905,0.99900009990005,1
29,0,1,0.999090909000905,0.9999000099900051,0
30,1,0,0.09990909090009048,0.9999000099900051,0
31,0,1,0.09990909090009048,0.09999000099900046,0
32,0,0,0.009990909090009048,0.09999000099900046,1
33,0,0,0.9009990909090009,0.09999000099900046,1
34,0,0,0.9900999090909001,0.09999000099900046,1
35,0,0,0.99900999090909,0.09999000099900046,1
36,0,0,0.999900999090909,0.09999000099900046,1
37,0,0,0.9999900999090909,0.09999000099900046,1
38,1,0,0.9999990099909091,0.09999000099900046,0
39,0,1,0.9999990099909091,0.00999900009990004,0
40,0,0,0.09999990099909084,0.00999900009990004,1
41,1,0,0.9099999900999091,0.00999900009990004,0
42,1,1,0.9099999900999091,9.999000099900034e-4,1
43,0,1,0.9099999900999091,0.900099990000999,0
44,1,0,0.0909999990099909,0.900099990000999,0
45,0,1,0.0909999990099909,0.09000999900009987,0
46,0,0,0.009099999900999092,0.09000999900009987,1
47,1,0,0.9009099999900999,0.09000999900009987,0
48,1,1,0.9009099999900999,0.009000999900009979,1
49,0,1,0.9009099999900999,0.900900099990001,0
50,0,0,0.09009099999900994,0.900900099990001,1
51,0,0,0.909009099999901,0.900900099990001,1
52,0,0,0.9909009099999901,0.900900099990001,1
53,0,0,0.999090090999999,0.900900099990001,1
54,1,0,0.9999090090999999,0.900900099990001,0
55,0,1,0.9999090090999999,0.09009000999900008,0
56,1,0,0.09999090090999996,0.09009000999900008,0
57,0,1,0.09999090090999996,0.0090090009999,0
58,1,0,0.009999090090999987,0.0090090009999,0
59,0,1,0.009999090090999987,9.009000999900003e-4,0
60,1,0,9.999090090999987e-4,9.009000999900003e-4,0
61,0,1,9.999090090999987e-4,9.009000999900003e-5,0
62,1,0,9.999090090999981e-5,9.009000999900003e-5,0
63,1,1,9.999090090999981e-5,9.0090009999e-6,1
64,0,1,9.999090090999981e-5,0.9000009009001,0
65,0,0,9.999090090999978e-6,0.9000009009001,1
66,1,0,0.9000009999090092,0.9000009009001,0
67,0,1,0.9000009999090092,0.09000009009000998,0
68,1,0,0.09000009999090086,0.09000009009000998,0
69,0,1,0.09000009999090086,0.009000009009000998,0
70,0,0,0.009000009999090078,0.009000009009000998,1
71,0,0,0.9009000009999091,0.009000009009000998,1
72,1,0,0.9900900000999909,0.009000009009000998,0
73,0,1,0.9900900000999909,9.000009009000991e-4,0
74,0,0,0.09900900000999913,9.000009009000991e-4,1
75,0,0,0.9099009000009999,9.000009009000991e-4,1
76,0,0,0.9909900900001,9.000009009000991e-4,1
77,0,0,0.99909900900001,9.000009009000991e-4,1
78,0,0,0.999909900900001,9.000009009000991e-4,1
79,1,0,0.9999909900900001,9.000009009000991e-4,0
80,0,1,0.9999909900900001,9.000009009000991e-5,0
81,0,0,0.09999909900899995,9.000009009000991e-5,1
82,1,0,0.9099999099009,9.000009009000991e-5,0
83,0,1,0.9099999099009,9.000009009000985e-6,0
84,1,0,0.09099999099008993,9.000009009000985e-6,0
85,1,1,0.09099999099008993,9.000009009000989e-7,1
86,0,1,0.09099999099008993,0.9000000900000901,0
87,0,0,0.009099999099008993,0.9000000900000901,1
88,1,0,0.9009099999099008,0.9000000900000901,0
89,0,1,0.9009099999099008,0.09000000900000904,0
90,1,0,0.09009099999099002,0.09000000900000904,0
91,0,1,0.09009099999099002,0.009000000900000901,0
92,0,0,0.009009099999099004,0.009000000900000901,1
93,0,0,0.9009009099999099,0.009000000900000901,1
94,0,0,0.990090090999991,0.009000000900000901,1
95,1,0,0.9990090090999991,0.009000000900000901,0
96,0,1,0.9990090090999991,9.000000900000905e-4,0
97,0,0,0.09990090090999992,9.000000900000905e-4,1
98,0,0,0.909990090091,9.000000900000905e-4,1
99,0,0,0.9909990090091,9.000000900000905e-4,1
100,1,0,0.99909990090091,9.000000900000905e-4,0
101,1,1,0.99909990090091,9.000000900000898e-5,1
102,1,1,0.99909990090091,0.9000090000009,1
103,0,1,0.99909990090091,0.99000090000009,0
104,1,0,0.09990999009009094,0.99000090000009,0
105,1,1,0.09990999009009094,0.09900009000000898,1
106,1,1,0.09990999009009094,0.9099000090000009,1
107,1,1,0.09990999009009094,0.9909900009000001,1
108,1,1,0.09990999009009094,0.99909900009,1
109,0,1,0.09990999009009094,0.999909900009,0
110,1,0,0.009990999009009086,0.999909900009,0
111,1,1,0.009990999009009086,0.09999099000089995,1
112,1,1,0.009990999009009086,0.90999909900009,1
113,0,1,0.009990999009009086,0.990999909900009,0
114,1,0,9.990999009009075e-4,0.990999909900009,0
115,0,1,9.990999009009075e-4,0.09909999099000089,0
116,0,0,9.990999009009077e-5,0.09909999099000089,1
117,0,0,0.900009990999009,0.09909999099000089,1
118,0,0,0.9900009990999009,0.09909999099000089,1
119,1,0,0.9990000999099901,0.09909999099000089,0
120,0,1,0.9990000999099901,0.009909999099000089,0
